id_loan,loan_identifier
F99Q10235568,1901SCRT00092
F99Q10240597,1902SLST00102
F99Q10243186,2202SLST00037
F99Q10245763,2002SLST00171
F99Q10246323,1704SCRT00111
F99Q10246910,1704SCRT00112
F99Q10247220,2102SCRT00176
F99Q10247799,1902SLST00103
F99Q10248310,1704SCRT00113
F99Q10249903,2002SLST00172
F99Q10250180,2202SCRT00059
F99Q10250414,2402SCRT00452
F99Q10251758,2001SLST00156
F99Q10252242,2102SCRT00199
F99Q10252257,2002SLST00199
F99Q10252290,2002SLST00200
F99Q10252301,2002SLST00202
F99Q10252315,2002SLST00203
F99Q10255563,1804SCRT00143
F99Q10255644,2102SCRT00213
F99Q10257709,2102SCRT00222
F99Q10258758,2101SLST00228
F99Q10258943,2102SCRT00224
F99Q10260514,1801SCRT00479
F99Q10262339,2103SCRT00090
F99Q10263821,2101SCRT00384
F99Q10264269,1904SCRT00239
F99Q10264501,2102SCRT00243
F99Q10264898,2103SCRT00092
F99Q10265190,2102SCRT00244
F99Q10265235,2101SLST00237
F99Q10265255,2501SCRT00548
F99Q10270746,2001SCRT00249
F99Q10270804,1803SCRT00183
F99Q10270814,2102SCRT00267
F99Q10271389,2002SLST00246
F99Q10271520,1704SCRT00149
F99Q10294743,2102SCRT00326
F99Q10302522,2003SLST00133
F99Q10302527,2102SCRT00438
F99Q10302677,1803SCRT00292
F99Q10303109,1904SCRT00359
F99Q10303703,1902SCRT00250
F99Q10305446,1803SCRT00297
F99Q10305495,1904SCRT00368
F99Q10308365,2102SLST00205
F99Q10310122,1803SCRT00299
F99Q10310250,2003SCRT00451
F99Q10311266,1803SCRT00301
F99Q10312266,1804SCRT00278
F99Q10312282,2101SCRT00727
F99Q10312336,1904SCRT00372
F99Q10312869,1901SLST00290
F99Q10314144,2201SLST00132
F99Q10314717,1803SCRT00304
F99Q10316690,2102SCRT00458
F99Q10316876,1904SCRT00377
F99Q10317543,2102SCRT00459
F99Q10317711,1804SCRT00282
F99Q10317890,2002SCRT00325
F99Q10319972,2003SLST00192
F99Q10320493,1904SCRT00529
F99Q10320594,1704SCRT00357
F99Q10320597,2202SCRT00188
F99Q10320730,2002SLST00526
F99Q10320930,2201SCRT00423
F99Q10321109,1902SLST00335
F99Q10322981,2101SLST00620
F99Q10322982,1801SCRT01197
F99Q10323099,2101SCRT01064
F99Q10323266,2101SCRT01066
F99Q10323324,1802SLST02439
F99Q10325182,2101SCRT01304
F99Q10331605,2102SLST00368
F99Q10332165,2102SCRT00769
F99Q10332192,2003SCRT00859
F99Q10332940,1803SCRT00727
F99Q10333375,2102SLST00369
F99Q10333541,1801SCRT01494
F99Q10334058,2101SLST00761
F99Q10334159,2201SCRT00578
F99Q10334392,1801SCRT01496
F99Q10335197,2402SLST00290
F99Q10335332,1801SCRT01497
F99Q10335352,1801SCRT01498
F99Q10337415,1801SCRT01499
F99Q10337582,2002SCRT00656
F99Q10339124,2002SCRT00658
F99Q10341945,2401SCRT00607
F99Q10342653,1704SCRT00554
F99Q10344890,1804SCRT00658
