year,cure_rate
2016,0.7745222929936306
2017,0.5797602581834947
2018,0.5533895107533644
2019,0.5478484737035675
2020,0.4104137348719392
2021,0.5255958549222798
2022,0.5294649690391706
2023,0.4961697975115882
2024,0.478106345536731
