tramo,n,recuperacion_media,recuperacion_mediana,lgd_media,lgd_descontada_media,ead_media,recuperacion_marginal
0-6,34,0.785574658101047,0.9588535476011082,0.21442534189895313,0.21030341893374638,172905.23676470589,
7-12,55,0.8413701386294419,0.9412602565097605,0.1586298613705581,0.15335734614660598,147306.62945454544,0.05579548052839489
13-18,54,0.7545443926980148,0.9234285370998585,0.2454556073019853,0.23138091807800307,160254.70962962962,-0.08682574593142711
19-24,36,0.7730005039290664,0.9254733201812093,0.22699949607093364,0.2092916067500794,150493.3525,0.01845611123105162
25-36,46,0.7198409303344832,0.9387444999903507,0.28015906966551674,0.24914874150979413,178471.43239130435,-0.05315957359458323
37-48,26,0.7358824757098742,0.8910288813901464,0.2641175242901258,0.2256479615191494,185030.65807692308,0.016041545375391042
49-60,15,0.5119858128795864,0.5972212238403996,0.4880141871204135,0.4016104195179256,126375.44399999999,-0.22389666283028775
>60,3,0.2504771900643845,0.0,0.7495228099356156,0.5834626377238011,201519.09,-0.26150862281520193
