modelo,decil,n,defaults,pd_predicha,pd_observada,z_stat,p_valor_z,wilson_ic95_inferior,wilson_ic95_superior,pd_predicha_dentro_ic95
logistica,1,42025,3,0.0003713808232691345,7.138607971445568e-05,-3.191820268364179,0.0014137927653241622,2.4277560064779586e-05,0.00020988544860591385,False
logistica,2,47335,10,0.0006610113761918283,0.00021126016689553185,-3.807173315238971,0.00014056423890473901,0.00011475887918247735,0.0003888782862863119,False
logistica,3,49317,29,0.0012832236704741799,0.0005880325242816879,-4.312510881116828,1.6141093599930656e-05,0.00040947353097526873,0.0008443899067483891,False
logistica,4,26366,10,0.0016353161182363835,0.0003792763407418645,-5.047543304036085,4.4752735561814916e-07,0.00020603270604887842,0.0006980910411335847,False
logistica,5,66853,59,0.0022768690442496278,0.0008825333193723543,-7.564038983164232,3.907985046680551e-14,0.0006843025546649386,0.0011381227511694314,False
logistica,6,39690,50,0.003692074375623925,0.0012597631645250692,-7.989648586127059,1.3322676295501878e-15,0.0009557574613262389,0.0016603057820963882,False
logistica,7,18105,40,0.004287866427644671,0.0022093344380005524,-4.280243276468847,1.8668912829644668e-05,0.0016229794712203577,0.0030068914974450255,False
logistica,8,43821,141,0.005911959877321272,0.003217635380297118,-7.3572053563651245,1.8784973576657649e-13,0.0027291669094344773,0.003793197794332073,False
logistica,9,38061,146,0.00881628631236831,0.0038359475578676337,-10.39391257362461,0.0,0.003263000086908425,0.004509043288677302,False
logistica,10,40492,751,0.03679894739734631,0.01854687345648523,-19.50835550290672,0.0,0.01727767504690365,0.0199074170638873,False
xgboost,1,55980,5,0.00042676692828536034,8.931761343336905e-05,-3.8656480445180956,0.00011079461726137829,3.815116717928994e-05,0.00020909160152702904,False
xgboost,2,28999,5,0.0010075959144160151,0.00017241973861167626,-4.482758226334624,7.36843961446354e-06,7.364849724131789e-05,0.0004036012905863686,False
xgboost,3,45631,25,0.0011951746419072151,0.0005478731564068287,-4.002032359549847,6.280070691921935e-05,0.00037114120998447503,0.0008086941551063943,False
xgboost,4,45415,47,0.0017625648761168122,0.001034900363316085,-3.6969312378465453,0.00021822141929161987,0.0007783996207242486,0.001375807676363663,False
xgboost,5,33223,21,0.0022456608712673187,0.0006320922252656292,-6.2133092638178224,5.188018903368175e-10,0.0004134801383699255,0.0009661755193017324,False
xgboost,6,43022,52,0.0031567374244332314,0.0012086839291525265,-7.20300155127631,5.890843368661081e-13,0.0009219013774469558,0.0015845365210275272,False
xgboost,7,42432,61,0.005974308587610722,0.0014375942684766215,-12.126781518273745,0.0,0.0011194215514493111,0.0018460339516177006,False
xgboost,8,35335,133,0.007381787057965994,0.003763973397481251,-7.944688354510358,1.9984014443252818e-15,0.0031771822260749814,0.0044586538054037644,False
xgboost,9,41546,185,0.011087181977927685,0.004452895585615944,-12.914251291178227,0.0,0.0038568637146565456,0.0051405616810638564,False
xgboost,10,40482,705,0.03791555017232895,0.01741514747295094,-21.59623744467277,0.0,0.01618587076425877,0.01873600671500301,False
random_forest,1,52388,3,0.00046487212100615796,5.726502252424219e-05,-4.328045984052047,1.5043806508518998e-05,1.9475109735665595e-05,0.00016837093078221534,False
random_forest,2,46976,14,0.0009932245457865902,0.00029802452316076295,-4.783434767095835,1.7232483382478847e-06,0.0001775407574939141,0.0005002307912292302,False
random_forest,3,44321,37,0.0010655770540399791,0.0008348187089641479,-1.4890225387564084,0.1364814337306135,0.0006057497061059021,0.001150412238080267,True
random_forest,4,23870,21,0.0015511695423441286,0.0008797653958944282,-2.635831767689168,0.008393133207630576,0.000575513877221639,0.0013446463034507501,False
random_forest,5,39201,39,0.0024383310689776935,0.000994872579781128,-5.794776085203635,6.841239574839619e-09,0.0007278903466149652,0.0013596477394973382,False
random_forest,6,44405,35,0.003495535988624608,0.0007881995270802838,-9.666330863189703,0.0,0.0005668190858393349,0.0010959488977326571,False
random_forest,7,58448,112,0.005474796506439531,0.0019162332329592116,-11.659169931883014,0.0,0.0015929209651446986,0.002305016101734645,False
random_forest,8,21239,53,0.007852008790295064,0.002495409388389284,-8.844587518105849,0.0,0.0019084423044543855,0.003262316018198644,False
random_forest,9,43169,245,0.011683203522357171,0.0056753688989784334,-11.616489504961313,0.0,0.005009373428118426,0.006429336225869235,False
random_forest,10,38048,680,0.03709915716597012,0.01787216148023549,-19.842872428595363,0.0,0.0165887538367355,0.0192529174898896,False
