banda_ltv,n,lgd_media,tasa_recuperacion
<=60,10,0.2697504133508855,0.7302495866491145
60-75,35,0.3135296857445255,0.6864703142554746
75-80,22,0.3439730946100068,0.6560269053899931
80-90,59,0.24536774970262545,0.7546322502973746
>90,143,0.21713072921072524,0.7828692707892747
