Modelo,AUC,Gini,KS,Brier,HL_pvalor,PSI,PSI_estado
logistica,0.8526518163625448,0.7053036327250897,0.5143338226446031,0.003000036883846018,0.0,2.8558430702845783,INESTABLE
xgboost,0.7804465581333383,0.5608931162666766,0.38523945657746456,0.002827714430168271,0.0,0.5276903372589556,INESTABLE
random_forest,0.8250624864672035,0.650124972934407,0.4755843801790261,0.00278243998651972,0.0,1.9833258178500752,INESTABLE
